nome,prezzo,categoria,offerta,descrizione,immagine
Samsung A15,199,Telefonia,1,Smartphone affidabile per uso quotidiano,https://images.samsung.com/is/image/samsung/p6pim/it/sm-a155fzbdeue/gallery/it-galaxy-a15-sm-a155-sm-a155fzbdeue-539636533?$330_330_JPG$
MOTOROLA G86,259,TELEFONIA,0, 8/256GB 5G SPELLBOUND DARK BLU,https://assets.motorola.com/global/nice/motorola_g86_pdp_design_chrysanthmum_02_d_.jpg
XIAOMI REDMI A7, 109,telefonia,0, PRO 4/64 GREEN,https://i02.appmifile.com/mi-com-product/fly-birds/redmi-a7-pro/pc/cshiuvywfbvvbndbvubuidf26t67rd57rerdfytwef.png?q=100

